year	actor	belligerent	crisisname	powsta	southpow	powdis	outcom	year_trigger_era	lat	long
1946	USA	Russia	AZERBAIJAN	4	4	28	1	COLD WAR ERA	40.1431	47.5769
1946	USA	Russia	TURKISH STRAITS	4	2	10	1	COLD WAR ERA	40.7225	28.2247
1947	USA	England	TRUMAN DOCTRINE	4	4	10	1	COLD WAR ERA	55.3781	3.436
1948	USA	Russia	BERLIN BLOCKADE	4	4	34	1	COLD WAR ERA	52.52	13.405
1948	USA	China	CHINA CIVIL WAR	4	4	7	4	COLD WAR ERA	35.8617	104.1954
1950	USA	North Korea	KOREAN WAR I	4	4	24	1	COLD WAR ERA	40.3399	127.5101
1950	USA	China	KOREAN WAR II	4	3	5	2	COLD WAR ERA	40.3399	127.5101
1953	USA	China	KOREAN WAR III	4	4	7	1	COLD WAR ERA	40.3399	127.5101
1954	USA	Guatemala	GUATEMALA	4	1	20	1	COLD WAR ERA	15.7835	-90.2308
1954	USA	France	DIEN BIEN PHU	4	1	18	4	COLD WAR ERA	21.4094	103.0356
1954	USA	China	TAIWAN STRAIT I	4	3	15	3	COLD WAR ERA	24.315814	120.14684
1956	USA	Russia	SUEZ CANAL WAR	4	4	2	1	COLD WAR ERA	30.57404	32.445357
1957	USA	Syria	SYRIA/TURKEY CONFRNT.	4	2	5	1	COLD WAR ERA	36.5123	39.55071
1958	USA	Iraq	IRAQ/LEB. UPHEAVAL	4	2	23	1	COLD WAR ERA	33.2232	43.6793
1958	USA	China	TAIWAN STRAIT II	4	3	16	1	COLD WAR ERA	24.315814	120.14684
1958	USA	Russia	BERLIN DEADLINE	4	4	41	3	COLD WAR ERA	52.52	13.405
1961	USA	Laos	PATHET LAO OFFENSIVE	4	1	16	1	COLD WAR ERA	19.8563	102.4955
1961	USA	Cuba	BAY OF PIGS	4	1	18	4	COLD WAR ERA	21.5218	-77.7812
1961	USA	Russia	BERLIN WALL	4	4	42	2	COLD WAR ERA	52.52	13.405
1961	USA	Vietnam	VIET CONG ATTACK	4	1	26	1	COLD WAR ERA	14.0583	108.2772
1962	USA	Laos	NAM THA	4	1	16	1	COLD WAR ERA	19.8563	102.4955
1962	USA	Russia	CUBAN MISSILES	4	4	-9	1	COLD WAR ERA	21.5218	-77.7812
1964	USA	Panama	PANAMA FLAG	4	1	18	2	COLD WAR ERA	8.538	-80.7821
1964	USA	Vietnam	GULF OF TONKIN	4	2	16	3	COLD WAR ERA	19.75	107.75
1964	USA	Democratic Republic of the Congo	CONGO II	4	1	24	1	COLD WAR ERA	-4.0383	21.7587
1965	USA	Vietnam	PLEIKU	4	2	16	3	COLD WAR ERA	13.9718	108.0151
1965	USA	Dominican	DOMINICAN INTERVENTN	4	1	18	1	COLD WAR ERA	18.7357	-70.1627
1968	USA	North Korea	PUEBLO	4	1	16	4	COLD WAR ERA	40.3399	127.5101
1968	USA	Vietnam	TET OFFENSIVE	4	2	28	4	COLD WAR ERA	14.0583	108.2772
1969	USA	Vietnam	VIETNAM SPRING OFF.	4	2	26	1	COLD WAR ERA	14.0583	108.2772
1969	USA	North Korea	EC-121 SPY PLANE	4	1	16	3	COLD WAR ERA	40.3399	127.5101
1970	USA	Vietnam	INVASION OF CAMBODIA	4	2	34	3	COLD WAR ERA	12.5657	107.578125
1970	USA	Jordan	BLACK SEPTEMBER	4	2	34	1	COLD WAR ERA	30.5852	36.2384
1970	USA	Russia	CIENFUEGOS SUB. BASE	4	4	0	1	COLD WAR ERA	22.0858	-80.2647
1972	USA	Vietnam	VIETNAM PORTS MINING	4	2	27	2	COLD WAR ERA	20.844911	106.688084
1972	USA	Vietnam	CHRISTMAS BOMBING	4	2	27	2	COLD WAR ERA	21.027764	105.83416
1973	USA	Israel	OCTOBER-YOM KIPPUR WAR	4	4	-14	1	COLD WAR ERA	31.0461	34.8516
1975	USA	Cambodia	MAYAGUEZ	4	1	18	1	COLD WAR ERA	10.301393	103.130787
1975	USA	Angola	WAR IN ANGOLA	4	2	5	4	COLD WAR ERA	-11.2027	17.8739
1976	USA	North Korea	POPLAR TREE	4	2	15	2	COLD WAR ERA	37.593164	126.884537
1978	USA	Democratic Republic of the Congo	SHABA II	4	2	65	1	COLD WAR ERA	-3.876586	23.466797
1979	USA	Russia	AFGHANISTAN INVASION	4	4	5	3	COLD WAR ERA	33.9391	67.71
1979	USA	Iran	US HOSTAGES IN IRAN	4	2	10	2	COLD WAR ERA	32.4279	53.688
1983	USA	Grenada	INVASION OF GRENADA	4	1	20	1	COLD WAR ERA	12.1165	-61.679
1984	USA	Russia	NICARAGUA MIG-21S	4	4	16	3	COLD WAR ERA	12.8654	-85.2072
1986	USA	Libya	GULF OF SYRTE II	4	2	14	1	COLD WAR ERA	31.5089	18
1988	USA	Libya	LIBYAN JETS	4	2	14	1	COLD WAR ERA	26.3351	17.2283
1989	USA	Panama	INVASION OF PANAMA	4	1	19	1	COLD WAR ERA	8.982379	-79.51987
1990	USA	Iraq	GULF WAR	4	3	11	1	COLD WAR ERA	33.2232	43.6793
